date,tickers
2018-08-31,"AARTIIND,ABB,ABCAPITAL,ABFRL,ACC,ALKEM,APLAPOLLO,APLLTD,APOLLOTYRE,ASHOKLEY,ASTRAL,ATGL,AUBANK,AUROPHARMA,BALKRISIND,BANKINDIA,BATAINDIA,BDL,BEL,BHARATFORG,BHARTIHEXA,CANBK,CLEAN,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DIXON,EMAMILTD,ESCORTS,EXIDEIND,FACT,FEDERALBNK,GLENMARK,GMRAIRPORT,GODREJPROP,GSPL,HAL,HDFCAMC,HINDPETRO,HINDZINC,HUDCO,IDBI,IDEA,IDFCFIRSTB,IEX,IGL,INDHOTEL,INDIAMART,INDIANB,INDUSTOWER,IOB,IRB,IRCTC,IREDA,ISEC,JINDALSTEL,KPITTECH,LICHSGFIN,LTF,M&MFIN,MANAPPURAM,MARICO,MAXHEALTH,MAZDOCK,METROPOLIS,MFSL,MPHASIS,MRF,MRPL,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAVINFLUOR,NLCINDIA,NYKAA,OBEROIRLTY,OIL,PAGEIND,PERSISTENT,PETRONET,PFC,PHOENIXLTD,POLICYBZR,POLYCAB,PRESTIGE,RAMCOCEM,RECLTD,RVNL,SBICARD,SOLARINDS,SONACOMS,SRF,SUNDARMFIN,TATACHEM,TATACOMM,TATAELXSI,TATAPOWER,TORNTPOWER,UBL,VBL,VOLTAS,YESBANK"
2018-09-30,"AARTIIND,ABB,ABCAPITAL,ABFRL,ACC,ALKEM,APLAPOLLO,APLLTD,APOLLOTYRE,ASHOKLEY,ASTRAL,ATGL,AUBANK,AUROPHARMA,BALKRISIND,BANKINDIA,BATAINDIA,BDL,BEL,BHARATFORG,BHARTIHEXA,CANBK,CLEAN,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DIXON,EMAMILTD,ESCORTS,EXIDEIND,FACT,FEDERALBNK,GLENMARK,GMRAIRPORT,GODREJPROP,GSPL,HAL,HDFCAMC,HINDPETRO,HINDZINC,HUDCO,IDBI,IDEA,IDFCFIRSTB,IEX,IGL,INDHOTEL,INDIAMART,INDIANB,INDUSTOWER,IOB,IRB,IRCTC,IREDA,ISEC,JINDALSTEL,KPITTECH,LICHSGFIN,LTF,M&MFIN,MANAPPURAM,MARICO,MAXHEALTH,MAZDOCK,METROPOLIS,MFSL,MPHASIS,MRF,MRPL,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAVINFLUOR,NLCINDIA,NYKAA,OBEROIRLTY,OIL,PAGEIND,PERSISTENT,PETRONET,PFC,PHOENIXLTD,POLICYBZR,POLYCAB,PRESTIGE,RAMCOCEM,RECLTD,RVNL,SBICARD,SOLARINDS,SONACOMS,SRF,SUNDARMFIN,TATACHEM,TATACOMM,TATAELXSI,TATAPOWER,TORNTPOWER,UBL,VBL,VOLTAS,YESBANK"
2018-10-31,"AARTIIND,ABB,ABCAPITAL,ABFRL,ACC,ALKEM,APLAPOLLO,APLLTD,APOLLOTYRE,ASHOKLEY,ASTRAL,ATGL,AUBANK,AUROPHARMA,BALKRISIND,BANKINDIA,BATAINDIA,BDL,BEL,BHARATFORG,BHARTIHEXA,CANBK,CLEAN,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DIXON,EMAMILTD,ESCORTS,EXIDEIND,FACT,FEDERALBNK,GLENMARK,GMRAIRPORT,GODREJPROP,GSPL,HAL,HDFCAMC,HINDPETRO,HINDZINC,HUDCO,IDBI,IDEA,IDFCFIRSTB,IEX,IGL,INDHOTEL,INDIAMART,INDIANB,INDUSTOWER,IOB,IRB,IRCTC,IREDA,ISEC,JINDALSTEL,KPITTECH,LICHSGFIN,LTF,M&MFIN,MANAPPURAM,MARICO,MAXHEALTH,MAZDOCK,METROPOLIS,MFSL,MPHASIS,MRF,MRPL,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAVINFLUOR,NLCINDIA,NYKAA,OBEROIRLTY,OIL,PAGEIND,PERSISTENT,PETRONET,PFC,PHOENIXLTD,POLICYBZR,POLYCAB,PRESTIGE,RAMCOCEM,RECLTD,RVNL,SBICARD,SOLARINDS,SONACOMS,SRF,SUNDARMFIN,TATACHEM,TATACOMM,TATAELXSI,TATAPOWER,TORNTPOWER,UBL,VBL,VOLTAS,YESBANK"
2018-11-30,"AARTIIND,ABB,ABCAPITAL,ABFRL,ACC,ALKEM,APLAPOLLO,APLLTD,APOLLOTYRE,ASHOKLEY,ASTRAL,ATGL,AUBANK,AUROPHARMA,BALKRISIND,BANKINDIA,BATAINDIA,BDL,BEL,BHARATFORG,BHARTIHEXA,CANBK,CLEAN,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DIXON,EMAMILTD,ESCORTS,EXIDEIND,FACT,FEDERALBNK,GLENMARK,GMRAIRPORT,GODREJPROP,GSPL,HAL,HDFCAMC,HINDPETRO,HINDZINC,HUDCO,IDBI,IDEA,IDFCFIRSTB,IEX,IGL,INDHOTEL,INDIAMART,INDIANB,INDUSTOWER,IOB,IRB,IRCTC,IREDA,ISEC,JINDALSTEL,KPITTECH,LICHSGFIN,LTF,M&MFIN,MANAPPURAM,MARICO,MAXHEALTH,MAZDOCK,METROPOLIS,MFSL,MPHASIS,MRF,MRPL,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAVINFLUOR,NLCINDIA,NYKAA,OBEROIRLTY,OIL,PAGEIND,PERSISTENT,PETRONET,PFC,PHOENIXLTD,POLICYBZR,POLYCAB,PRESTIGE,RAMCOCEM,RECLTD,RVNL,SBICARD,SOLARINDS,SONACOMS,SRF,SUNDARMFIN,TATACHEM,TATACOMM,TATAELXSI,TATAPOWER,TORNTPOWER,UBL,VBL,VOLTAS,YESBANK"
2018-12-31,"AARTIIND,ABB,ABCAPITAL,ABFRL,ACC,ALKEM,APLAPOLLO,APLLTD,APOLLOTYRE,ASHOKLEY,ASTRAL,ATGL,AUBANK,AUROPHARMA,BALKRISIND,BANKINDIA,BATAINDIA,BDL,BEL,BHARATFORG,BHARTIHEXA,CANBK,CLEAN,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DIXON,EMAMILTD,ESCORTS,EXIDEIND,FACT,FEDERALBNK,GLENMARK,GMRAIRPORT,GODREJPROP,GSPL,HAL,HDFCAMC,HINDPETRO,HINDZINC,HUDCO,IDBI,IDEA,IDFCFIRSTB,IEX,IGL,INDHOTEL,INDIAMART,INDIANB,INDUSTOWER,IOB,IRB,IRCTC,IREDA,ISEC,JINDALSTEL,KPITTECH,LICHSGFIN,LTF,M&MFIN,MANAPPURAM,MARICO,MAXHEALTH,MAZDOCK,METROPOLIS,MFSL,MPHASIS,MRF,MRPL,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAVINFLUOR,NLCINDIA,NYKAA,OBEROIRLTY,OIL,PAGEIND,PERSISTENT,PETRONET,PFC,PHOENIXLTD,POLICYBZR,POLYCAB,PRESTIGE,RAMCOCEM,RECLTD,RVNL,SBICARD,SOLARINDS,SONACOMS,SRF,SUNDARMFIN,TATACHEM,TATACOMM,TATAELXSI,TATAPOWER,TORNTPOWER,UBL,VBL,VOLTAS,YESBANK"
2019-01-31,"AARTIIND,ABB,ABCAPITAL,ABFRL,ACC,ALKEM,APLAPOLLO,APLLTD,APOLLOTYRE,ASHOKLEY,ASTRAL,ATGL,AUBANK,AUROPHARMA,BALKRISIND,BANKINDIA,BATAINDIA,BDL,BEL,BHARATFORG,BHARTIHEXA,CANBK,CLEAN,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DIXON,EMAMILTD,ESCORTS,EXIDEIND,FACT,FEDERALBNK,GLENMARK,GMRAIRPORT,GODREJPROP,GSPL,HAL,HDFCAMC,HINDPETRO,HINDZINC,HUDCO,IDBI,IDEA,IDFCFIRSTB,IEX,IGL,INDHOTEL,INDIAMART,INDIANB,INDUSTOWER,IOB,IRB,IRCTC,IREDA,ISEC,JINDALSTEL,KPITTECH,LICHSGFIN,LTF,M&MFIN,MANAPPURAM,MARICO,MAXHEALTH,MAZDOCK,METROPOLIS,MFSL,MPHASIS,MRF,MRPL,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAVINFLUOR,NLCINDIA,NYKAA,OBEROIRLTY,OIL,PAGEIND,PERSISTENT,PETRONET,PFC,PHOENIXLTD,POLICYBZR,POLYCAB,PRESTIGE,RAMCOCEM,RECLTD,RVNL,SBICARD,SOLARINDS,SONACOMS,SRF,SUNDARMFIN,TATACHEM,TATACOMM,TATAELXSI,TATAPOWER,TORNTPOWER,UBL,VBL,VOLTAS,YESBANK"
2019-02-28,"AARTIIND,ABB,ABCAPITAL,ABFRL,ACC,ALKEM,APLAPOLLO,APLLTD,APOLLOTYRE,ASHOKLEY,ASTRAL,ATGL,AUBANK,AUROPHARMA,BALKRISIND,BANKINDIA,BATAINDIA,BDL,BEL,BHARATFORG,BHARTIHEXA,CANBK,CLEAN,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DIXON,EMAMILTD,ESCORTS,EXIDEIND,FACT,FEDERALBNK,GLENMARK,GMRAIRPORT,GODREJPROP,GSPL,HAL,HDFCAMC,HINDPETRO,HINDZINC,HUDCO,IDBI,IDEA,IDFCFIRSTB,IEX,IGL,INDHOTEL,INDIAMART,INDIANB,INDUSTOWER,IOB,IRB,IRCTC,IREDA,ISEC,JINDALSTEL,KPITTECH,LICHSGFIN,LTF,M&MFIN,MANAPPURAM,MARICO,MAXHEALTH,MAZDOCK,METROPOLIS,MFSL,MPHASIS,MRF,MRPL,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAVINFLUOR,NLCINDIA,NYKAA,OBEROIRLTY,OIL,PAGEIND,PERSISTENT,PETRONET,PFC,PHOENIXLTD,POLICYBZR,POLYCAB,PRESTIGE,RAMCOCEM,RECLTD,RVNL,SBICARD,SOLARINDS,SONACOMS,SRF,SUNDARMFIN,TATACHEM,TATACOMM,TATAELXSI,TATAPOWER,TORNTPOWER,UBL,VBL,VOLTAS,YESBANK"
2019-03-31,"AARTIIND,ABB,ABCAPITAL,ABFRL,ACC,ALKEM,APLAPOLLO,APLLTD,APOLLOTYRE,ASHOKLEY,ASTRAL,ATGL,AUBANK,AUROPHARMA,BALKRISIND,BANKINDIA,BATAINDIA,BDL,BEL,BHARATFORG,BHARTIHEXA,CANBK,CLEAN,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DIXON,EMAMILTD,ESCORTS,EXIDEIND,FACT,FEDERALBNK,GLENMARK,GMRAIRPORT,GODREJPROP,GSPL,HAL,HDFCAMC,HINDPETRO,HINDZINC,HUDCO,IDBI,IDEA,IDFCFIRSTB,IEX,IGL,INDHOTEL,INDIAMART,INDIANB,INDUSTOWER,IOB,IRB,IRCTC,IREDA,ISEC,JINDALSTEL,KPITTECH,LICHSGFIN,LTF,M&MFIN,MANAPPURAM,MARICO,MAXHEALTH,MAZDOCK,METROPOLIS,MFSL,MPHASIS,MRF,MRPL,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAVINFLUOR,NLCINDIA,NYKAA,OBEROIRLTY,OIL,PAGEIND,PERSISTENT,PETRONET,PFC,PHOENIXLTD,POLICYBZR,POLYCAB,PRESTIGE,RAMCOCEM,RECLTD,RVNL,SBICARD,SOLARINDS,SONACOMS,SRF,SUNDARMFIN,TATACHEM,TATACOMM,TATAELXSI,TATAPOWER,TORNTPOWER,UBL,VBL,VOLTAS,YESBANK"
2019-04-30,"AARTIIND,ABB,ABCAPITAL,ABFRL,ACC,ALKEM,APLAPOLLO,APLLTD,APOLLOTYRE,ASHOKLEY,ASTRAL,ATGL,AUBANK,AUROPHARMA,BALKRISIND,BANKINDIA,BATAINDIA,BDL,BEL,BHARATFORG,BHARTIHEXA,CANBK,CLEAN,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DIXON,EMAMILTD,ESCORTS,EXIDEIND,FACT,FEDERALBNK,GLENMARK,GMRAIRPORT,GODREJPROP,GSPL,HAL,HDFCAMC,HINDPETRO,HINDZINC,HUDCO,IDBI,IDEA,IDFCFIRSTB,IEX,IGL,INDHOTEL,INDIAMART,INDIANB,INDUSTOWER,IOB,IRB,IRCTC,IREDA,ISEC,JINDALSTEL,KPITTECH,LICHSGFIN,LTF,M&MFIN,MANAPPURAM,MARICO,MAXHEALTH,MAZDOCK,METROPOLIS,MFSL,MPHASIS,MRF,MRPL,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAVINFLUOR,NLCINDIA,NYKAA,OBEROIRLTY,OIL,PAGEIND,PERSISTENT,PETRONET,PFC,PHOENIXLTD,POLICYBZR,POLYCAB,PRESTIGE,RAMCOCEM,RECLTD,RVNL,SBICARD,SOLARINDS,SONACOMS,SRF,SUNDARMFIN,TATACHEM,TATACOMM,TATAELXSI,TATAPOWER,TORNTPOWER,UBL,VBL,VOLTAS,YESBANK"
2019-05-31,"AARTIIND,ABB,ABCAPITAL,ABFRL,ACC,ALKEM,APLAPOLLO,APLLTD,APOLLOTYRE,ASHOKLEY,ASTRAL,ATGL,AUBANK,AUROPHARMA,BALKRISIND,BANKINDIA,BATAINDIA,BDL,BEL,BHARATFORG,BHARTIHEXA,CANBK,CLEAN,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DIXON,EMAMILTD,ESCORTS,EXIDEIND,FACT,FEDERALBNK,GLENMARK,GMRAIRPORT,GODREJPROP,GSPL,HAL,HDFCAMC,HINDPETRO,HINDZINC,HUDCO,IDBI,IDEA,IDFCFIRSTB,IEX,IGL,INDHOTEL,INDIAMART,INDIANB,INDUSTOWER,IOB,IRB,IRCTC,IREDA,ISEC,JINDALSTEL,KPITTECH,LICHSGFIN,LTF,M&MFIN,MANAPPURAM,MARICO,MAXHEALTH,MAZDOCK,METROPOLIS,MFSL,MPHASIS,MRF,MRPL,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAVINFLUOR,NLCINDIA,NYKAA,OBEROIRLTY,OIL,PAGEIND,PERSISTENT,PETRONET,PFC,PHOENIXLTD,POLICYBZR,POLYCAB,PRESTIGE,RAMCOCEM,RECLTD,RVNL,SBICARD,SOLARINDS,SONACOMS,SRF,SUNDARMFIN,TATACHEM,TATACOMM,TATAELXSI,TATAPOWER,TORNTPOWER,UBL,VBL,VOLTAS,YESBANK"
2019-06-30,"AARTIIND,ABB,ABCAPITAL,ABFRL,ACC,ALKEM,APLAPOLLO,APLLTD,APOLLOTYRE,ASHOKLEY,ASTRAL,ATGL,AUBANK,AUROPHARMA,BALKRISIND,BANKINDIA,BATAINDIA,BDL,BEL,BHARATFORG,BHARTIHEXA,CANBK,CLEAN,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DIXON,EMAMILTD,ESCORTS,EXIDEIND,FACT,FEDERALBNK,GLENMARK,GMRAIRPORT,GODREJPROP,GSPL,HAL,HDFCAMC,HINDPETRO,HINDZINC,HUDCO,IDBI,IDEA,IDFCFIRSTB,IEX,IGL,INDHOTEL,INDIAMART,INDIANB,INDUSTOWER,IOB,IRB,IRCTC,IREDA,ISEC,JINDALSTEL,KPITTECH,LICHSGFIN,LTF,M&MFIN,MANAPPURAM,MARICO,MAXHEALTH,MAZDOCK,METROPOLIS,MFSL,MPHASIS,MRF,MRPL,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAVINFLUOR,NLCINDIA,NYKAA,OBEROIRLTY,OIL,PAGEIND,PERSISTENT,PETRONET,PFC,PHOENIXLTD,POLICYBZR,POLYCAB,PRESTIGE,RAMCOCEM,RECLTD,RVNL,SBICARD,SOLARINDS,SONACOMS,SRF,SUNDARMFIN,TATACHEM,TATACOMM,TATAELXSI,TATAPOWER,TORNTPOWER,UBL,VBL,VOLTAS,YESBANK"
2019-07-31,"AARTIIND,ABB,ABCAPITAL,ABFRL,ACC,ALKEM,APLAPOLLO,APLLTD,APOLLOTYRE,ASHOKLEY,ASTRAL,ATGL,AUBANK,AUROPHARMA,BALKRISIND,BANKINDIA,BATAINDIA,BDL,BEL,BHARATFORG,BHARTIHEXA,CANBK,CLEAN,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DIXON,EMAMILTD,ESCORTS,EXIDEIND,FACT,FEDERALBNK,GLENMARK,GMRAIRPORT,GODREJPROP,GSPL,HAL,HDFCAMC,HINDPETRO,HINDZINC,HUDCO,IDBI,IDEA,IDFCFIRSTB,IEX,IGL,INDHOTEL,INDIAMART,INDIANB,INDUSTOWER,IOB,IRB,IRCTC,IREDA,ISEC,JINDALSTEL,KPITTECH,LICHSGFIN,LTF,M&MFIN,MANAPPURAM,MARICO,MAXHEALTH,MAZDOCK,METROPOLIS,MFSL,MPHASIS,MRF,MRPL,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAVINFLUOR,NLCINDIA,NYKAA,OBEROIRLTY,OIL,PAGEIND,PERSISTENT,PETRONET,PFC,PHOENIXLTD,POLICYBZR,POLYCAB,PRESTIGE,RAMCOCEM,RECLTD,RVNL,SBICARD,SOLARINDS,SONACOMS,SRF,SUNDARMFIN,TATACHEM,TATACOMM,TATAELXSI,TATAPOWER,TORNTPOWER,UBL,VBL,VOLTAS,YESBANK"
2019-08-31,"AARTIIND,ABB,ABCAPITAL,ABFRL,ACC,ALKEM,APLAPOLLO,APLLTD,APOLLOTYRE,ASHOKLEY,ASTRAL,ATGL,AUBANK,AUROPHARMA,BALKRISIND,BANKINDIA,BATAINDIA,BDL,BEL,BHARATFORG,BHARTIHEXA,CANBK,CLEAN,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DIXON,EMAMILTD,ESCORTS,EXIDEIND,FACT,FEDERALBNK,GLENMARK,GMRAIRPORT,GODREJPROP,GSPL,HAL,HDFCAMC,HINDPETRO,HINDZINC,HUDCO,IDBI,IDEA,IDFCFIRSTB,IEX,IGL,INDHOTEL,INDIAMART,INDIANB,INDUSTOWER,IOB,IRB,IRCTC,IREDA,ISEC,JINDALSTEL,KPITTECH,LICHSGFIN,LTF,M&MFIN,MANAPPURAM,MARICO,MAXHEALTH,MAZDOCK,METROPOLIS,MFSL,MPHASIS,MRF,MRPL,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAVINFLUOR,NLCINDIA,NYKAA,OBEROIRLTY,OIL,PAGEIND,PERSISTENT,PETRONET,PFC,PHOENIXLTD,POLICYBZR,POLYCAB,PRESTIGE,RAMCOCEM,RECLTD,RVNL,SBICARD,SOLARINDS,SONACOMS,SRF,SUNDARMFIN,TATACHEM,TATACOMM,TATAELXSI,TATAPOWER,TORNTPOWER,UBL,VBL,VOLTAS,YESBANK"
2019-09-30,"AARTIIND,ABB,ABCAPITAL,ABFRL,ACC,ALKEM,APLAPOLLO,APLLTD,APOLLOTYRE,ASHOKLEY,ASTRAL,ATGL,AUBANK,AUROPHARMA,BALKRISIND,BANKINDIA,BATAINDIA,BDL,BEL,BHARATFORG,BHARTIHEXA,CANBK,CLEAN,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DIXON,EMAMILTD,ESCORTS,EXIDEIND,FACT,FEDERALBNK,GLENMARK,GMRAIRPORT,GODREJPROP,GSPL,HAL,HDFCAMC,HINDPETRO,HINDZINC,HUDCO,IDBI,IDEA,IDFCFIRSTB,IEX,IGL,INDHOTEL,INDIAMART,INDIANB,INDUSTOWER,IOB,IRB,IRCTC,IREDA,ISEC,JINDALSTEL,KPITTECH,LICHSGFIN,LTF,M&MFIN,MANAPPURAM,MARICO,MAXHEALTH,MAZDOCK,METROPOLIS,MFSL,MPHASIS,MRF,MRPL,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAVINFLUOR,NLCINDIA,NYKAA,OBEROIRLTY,OIL,PAGEIND,PERSISTENT,PETRONET,PFC,PHOENIXLTD,POLICYBZR,POLYCAB,PRESTIGE,RAMCOCEM,RECLTD,RVNL,SBICARD,SOLARINDS,SONACOMS,SRF,SUNDARMFIN,TATACHEM,TATACOMM,TATAELXSI,TATAPOWER,TORNTPOWER,UBL,VBL,VOLTAS,YESBANK"
2019-10-31,"AARTIIND,ABB,ABCAPITAL,ABFRL,ACC,ALKEM,APLAPOLLO,APLLTD,APOLLOTYRE,ASHOKLEY,ASTRAL,ATGL,AUBANK,AUROPHARMA,BALKRISIND,BANKINDIA,BATAINDIA,BDL,BEL,BHARATFORG,BHARTIHEXA,CANBK,CLEAN,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DIXON,EMAMILTD,ESCORTS,EXIDEIND,FACT,FEDERALBNK,GLENMARK,GMRAIRPORT,GODREJPROP,GSPL,HAL,HDFCAMC,HINDPETRO,HINDZINC,HUDCO,IDBI,IDEA,IDFCFIRSTB,IEX,IGL,INDHOTEL,INDIAMART,INDIANB,INDUSTOWER,IOB,IRB,IRCTC,IREDA,ISEC,JINDALSTEL,KPITTECH,LICHSGFIN,LTF,M&MFIN,MANAPPURAM,MARICO,MAXHEALTH,MAZDOCK,METROPOLIS,MFSL,MPHASIS,MRF,MRPL,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAVINFLUOR,NLCINDIA,NYKAA,OBEROIRLTY,OIL,PAGEIND,PERSISTENT,PETRONET,PFC,PHOENIXLTD,POLICYBZR,POLYCAB,PRESTIGE,RAMCOCEM,RECLTD,RVNL,SBICARD,SOLARINDS,SONACOMS,SRF,SUNDARMFIN,TATACHEM,TATACOMM,TATAELXSI,TATAPOWER,TORNTPOWER,UBL,VBL,VOLTAS,YESBANK"
2019-11-30,"AARTIIND,ABB,ABCAPITAL,ABFRL,ACC,ALKEM,APLAPOLLO,APLLTD,APOLLOTYRE,ASHOKLEY,ASTRAL,ATGL,AUBANK,AUROPHARMA,BALKRISIND,BANKINDIA,BATAINDIA,BDL,BEL,BHARATFORG,BHARTIHEXA,CANBK,CLEAN,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DIXON,EMAMILTD,ESCORTS,EXIDEIND,FACT,FEDERALBNK,GLENMARK,GMRAIRPORT,GODREJPROP,GSPL,HAL,HDFCAMC,HINDPETRO,HINDZINC,HUDCO,IDBI,IDEA,IDFCFIRSTB,IEX,IGL,INDHOTEL,INDIAMART,INDIANB,INDUSTOWER,IOB,IRB,IRCTC,IREDA,ISEC,JINDALSTEL,KPITTECH,LICHSGFIN,LTF,M&MFIN,MANAPPURAM,MARICO,MAXHEALTH,MAZDOCK,METROPOLIS,MFSL,MPHASIS,MRF,MRPL,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAVINFLUOR,NLCINDIA,NYKAA,OBEROIRLTY,OIL,PAGEIND,PERSISTENT,PETRONET,PFC,PHOENIXLTD,POLICYBZR,POLYCAB,PRESTIGE,RAMCOCEM,RECLTD,RVNL,SBICARD,SOLARINDS,SONACOMS,SRF,SUNDARMFIN,TATACHEM,TATACOMM,TATAELXSI,TATAPOWER,TORNTPOWER,UBL,VBL,VOLTAS,YESBANK"
2019-12-31,"AARTIIND,ABB,ABCAPITAL,ABFRL,ACC,ALKEM,APLAPOLLO,APLLTD,APOLLOTYRE,ASHOKLEY,ASTRAL,ATGL,AUBANK,AUROPHARMA,BALKRISIND,BANKINDIA,BATAINDIA,BDL,BEL,BHARATFORG,BHARTIHEXA,CANBK,CLEAN,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DIXON,EMAMILTD,ESCORTS,EXIDEIND,FACT,FEDERALBNK,GLENMARK,GMRAIRPORT,GODREJPROP,GSPL,HAL,HDFCAMC,HINDPETRO,HINDZINC,HUDCO,IDBI,IDEA,IDFCFIRSTB,IEX,IGL,INDHOTEL,INDIAMART,INDIANB,INDUSTOWER,IOB,IRB,IRCTC,IREDA,ISEC,JINDALSTEL,KPITTECH,LICHSGFIN,LTF,M&MFIN,MANAPPURAM,MARICO,MAXHEALTH,MAZDOCK,METROPOLIS,MFSL,MPHASIS,MRF,MRPL,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAVINFLUOR,NLCINDIA,NYKAA,OBEROIRLTY,OIL,PAGEIND,PERSISTENT,PETRONET,PFC,PHOENIXLTD,POLICYBZR,POLYCAB,PRESTIGE,RAMCOCEM,RECLTD,RVNL,SBICARD,SOLARINDS,SONACOMS,SRF,SUNDARMFIN,TATACHEM,TATACOMM,TATAELXSI,TATAPOWER,TORNTPOWER,UBL,VBL,VOLTAS,YESBANK"
2020-01-31,"AARTIIND,ABB,ABCAPITAL,ABFRL,ACC,ALKEM,APLAPOLLO,APLLTD,APOLLOTYRE,ASHOKLEY,ASTRAL,ATGL,AUBANK,AUROPHARMA,BALKRISIND,BANKINDIA,BATAINDIA,BDL,BEL,BHARATFORG,BHARTIHEXA,CANBK,CLEAN,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DIXON,EMAMILTD,ESCORTS,EXIDEIND,FACT,FEDERALBNK,GLENMARK,GMRAIRPORT,GODREJPROP,GSPL,HAL,HDFCAMC,HINDPETRO,HINDZINC,HUDCO,IDBI,IDEA,IDFCFIRSTB,IEX,IGL,INDHOTEL,INDIAMART,INDIANB,INDUSTOWER,IOB,IRB,IRCTC,IREDA,ISEC,JINDALSTEL,KPITTECH,LICHSGFIN,LTF,M&MFIN,MANAPPURAM,MARICO,MAXHEALTH,MAZDOCK,METROPOLIS,MFSL,MPHASIS,MRF,MRPL,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAVINFLUOR,NLCINDIA,NYKAA,OBEROIRLTY,OIL,PAGEIND,PERSISTENT,PETRONET,PFC,PHOENIXLTD,POLICYBZR,POLYCAB,PRESTIGE,RAMCOCEM,RECLTD,RVNL,SBICARD,SOLARINDS,SONACOMS,SRF,SUNDARMFIN,TATACHEM,TATACOMM,TATAELXSI,TATAPOWER,TORNTPOWER,UBL,VBL,VOLTAS,YESBANK"
